,Fecha,Medio,Título,Resumen,Alcance
451,2025-06-02,EdoMex 101.3 Ultra,La Universidad Autónoma del Estado de México busca implementar el voto directo tras protestas estudiantiles.,"La Universidad Autónoma del Estado de México (UAEMéx) enfrenta un paro estudiantil de más de un mes debido al descontento por el proceso de elección de la nueva rectoría. 
 
 Este descontento ha llevado a la renuncia del ex rector Eduardo Barrera y la llegada del Dr. Isidro Rogel, quien busca acercarse a la comunidad universitaria. 
 
 Rogel ha anunciado la intención de implementar el voto directo para la elección de la rectoría, revisando el marco normativo vigente y considerando la participación del Instituto Electoral del Estado de México para garantizar la transparencia. 
 
 El Consejo Universitario de la UAEMéx evalúa si continuar con las cinco candidatas registradas o iniciar un nuevo proceso electoral. 
 
 Además, se busca minimizar el impacto de las protestas en el semestre en curso y asegurar que los nuevos ingresos no se vean afectados. 
 
 Se espera una decisión sobre el proceso de selección de la próxima rectora a finales de esta semana. 
 
 Las cinco candidatas mantienen sus derechos en el proceso y podrían recurrir a instancias externas si se decide cancelar el proceso actual.",70000
452,2025-06-02,NoticiasDe ESP (sitio),"La científica Eva Nogales fomenta las vocaciones científicas de los jóvenes: ""Es una vida de descubrimiento""",La UPV y el Ayuntamiento de València rinden homenaje a la experta con un nuevo mural de la serie 'Dones de Ciència',4000
455,2025-06-02,Milenio (sitio),27° Aniversario del sindicato de El Colegio de la Frontera Norte,"""Desde el principio cuando fui secretario general del Sindicato de Investigadores y Profesores del Colegio de la Frontera Norte (SIPCOLEF), siempre intente hacer nexos a todos lados, sé que algunos sindicatos tienen sus reservas para hacer alianzas con otras federaciones de sindicatos universitarios, a mí parecer es muy importante hacer alianzas con los sindicatos universitarios como la UNAM, UAM y varios sindicatos que son mayoritarios, tenemos la incertidumbre, las mismas preguntas, los mismos problemas laborales y académicos, por lo que pienso que sería muy importante estas alianzas"", aseveró en exclusiva el doctor Miguel Olmos Aguilera, miembro del Sistema Nacional de Investigadores",199654
458,2025-06-02,La Razón ES (Sitio),La Universidad Autónoma de Madrid vuelve a votar a su rector (tras la elección fallida),"La Universidad Autónoma de Madrid (UAM) celebra este lunes una nueva jornada de elecciones a rector con dos candidatos, el profesor Javier Ortega García y la actual rectora en funciones, Amaya Mendikoetxea; después de que ésta no lograse revalidar el cargo en otro proceso electoral celebrado el 8 de abril, en el que era la única candidata.",4000
459,2025-06-02,NoticiasDe ESP (sitio),"La UAM elegirá a su rector este lunes, con la actual candidata siendo la única postulante después de la victoria del voto en blanco en las elecciones de abril",Amaya Mendikoetxea y Javier Ortega se enfrentan en unos comicios que durarán desde las 10 hasta las 19 horas,4000
460,2025-06-02,Zócalo COAH (sitio),Certifica INE sistema de conteo de votos del PJ,"Ciudad de México. Ante notario público, el INE certificó el funcionamiento del sistema que operará a partir de las 20:00 horas de este domingo para contar los votos de la elección judicial.",660200
461,2025-06-01,Sin Embargo (sitio),Una jornada histórica #EnVivo ¬ El INE inicia cómputos distritales de elección judicial; transmite proceso,,4600000
462,2025-06-01,Azteca CHIH (Sitio),"Las mejores universidades de México según el AD Scientific Index 2025: UNAM, UAM y Tec entre las más destacadas",La clasificación 2025 del AD Scientific Index revela cuáles son las mejores universidades de México con mayor impacto académico.,4000
463,2025-06-01,Rosy Ramales (Sitio),Consejo General del INE convoca a las y los ciudadanos a ejercer su derecho al voto en la primera elección del Poder Judicial de la Federación,"Votar es un derecho, pero también es una obligación cívica: Guadalupe Taddei",15000
464,2025-06-01,Latinus_us Youtube,"El conteo de votos de las elecciones judiciales se extenderá por 10 días, según el INE.","El Instituto Nacional Electoral (INE) ha anunciado que el conteo de votos para las elecciones judiciales podría extenderse hasta 10 días, comenzando justo al cierre de la jornada electoral. 
 
 Este nuevo procedimiento, que busca garantizar un conteo íntegro y transparente, utilizará una herramienta informática auditada por la Universidad Autónoma de México (UAM) y el Órgano Interno de Control del Instituto. 
 
 El calendario establece que el conteo para los ministros de la Suprema Corte de Justicia deberá concluir a más tardar el martes 3 de junio. Posteriormente, se realizará el cómputo para los integrantes del nuevo tribunal de disciplina judicial, seguido por el conteo para la Sala Superior y salas regionales del Tribunal Electoral Federal. 
 
 El INE ha aclarado que, aunque los resultados finales serán definitivos, no se publicarán los nombres de los candidatos ganadores hasta verificar su elegibilidad. 
 
 Un informe del Observatorio de la Universidad Iberoamericana revela que solo el 41.3% de los aspirantes a un cargo en la Suprema Corte de Justicia tiene carrera judicial, lo que ha generado preocupación entre jueces y magistrados, quienes han declinado participar en el proceso.",1660000
